plan_id,status,output_visible_cycles,final_ack_cycles,quiescent_cycles,payload_router_byte_hops,full_protocol_flit_hops,dependency_only_DAG_ticks
p0371,valid,2763.6666666666665,2892.6666666666665,2908.6666666666665,169984,6528,56556
p0372,valid,2536.6666666666665,2647.6666666666665,2663.6666666666665,133120,5376,46928
p0373,valid,2631.3333333333335,2742.3333333333335,2758.3333333333335,133120,5376,49068
p0374,valid,2536.6666666666665,2647.6666666666665,2663.6666666666665,133120,5376,48080
p0375,valid,2631.3333333333335,2742.3333333333335,2758.3333333333335,133120,5376,50220
p0376,valid,2536.6666666666665,2647.6666666666665,2663.6666666666665,133120,5376,49232
p0377,valid,2631.3333333333335,2742.3333333333335,2758.3333333333335,133120,5376,51372
p0378,valid,2518.6666666666665,2647.6666666666665,2663.6666666666665,120832,4992,46280
p0379,valid,2613.3333333333335,2742.3333333333335,2758.3333333333335,120832,4992,48420
p0380,valid,2518.6666666666665,2647.6666666666665,2663.6666666666665,120832,4992,47432
p0381,valid,2613.3333333333335,2742.3333333333335,2758.3333333333335,120832,4992,49572
p0382,valid,2518.6666666666665,2647.6666666666665,2663.6666666666665,120832,4992,48584
p0383,valid,2613.3333333333335,2742.3333333333335,2758.3333333333335,120832,4992,50724
p0384,valid,2367.5555555555557,2478.5555555555557,2494.5555555555557,141312,5632,52760
p0385,valid,2635.3333333333335,2746.3333333333335,2762.3333333333335,141312,5632,54900
p0386,valid,2399.777777777778,2510.777777777778,2526.777777777778,141312,5632,53912
p0387,valid,2666.222222222222,2777.222222222222,2793.222222222222,141312,5632,56052
p0388,valid,2539.1111111111113,2650.1111111111113,2666.1111111111113,141312,5632,55064
p0389,valid,2698.222222222222,2809.222222222222,2825.222222222222,141312,5632,57204
p0390,valid,2349.5555555555557,2478.5555555555557,2494.5555555555557,129024,5248,52112
p0391,valid,2617.3333333333335,2746.3333333333335,2762.3333333333335,129024,5248,54252
p0392,valid,2381.777777777778,2510.777777777778,2526.777777777778,129024,5248,53264
p0393,valid,2648.222222222222,2777.222222222222,2793.222222222222,129024,5248,55404
p0394,valid,2521.1111111111113,2650.1111111111113,2666.1111111111113,129024,5248,54416
p0395,valid,2680.222222222222,2809.222222222222,2825.222222222222,129024,5248,56556
p0396,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,92160,4096,46928
p0397,valid,2750.5555555555557,2861.5555555555557,2877.5555555555557,92160,4096,49068
p0398,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,92160,4096,48080
p0399,valid,2750.5555555555557,2861.5555555555557,2877.5555555555557,92160,4096,50220
p0400,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,92160,4096,49232
p0401,valid,2750.5555555555557,2861.5555555555557,2877.5555555555557,92160,4096,51372
