config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high,tasks,sram_high_water_bytes,search_unique,search_budget_exhausted
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,B2,32,11788.680564398996,13669.598969851811,-0.5325018920407658,-0.548306374369608,-0.5166974097119236,30,196032,152,True
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,B8,32,11968.680564398996,13849.598969851811,-2.0784751269978297,-2.1401635902813743,-2.016786663714285,30,196032,152,True
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,H2,32,11788.680564398996,13669.598969851811,-0.5325018920407658,-0.548306374369608,-0.5166974097119236,30,196032,152,True
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,S8,32,9723.111864948929,11527.593356662792,-2.7759661604129002,-2.8757884770665845,-2.676143843759216,30,126912,143,True
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,S,32,9463.063175856878,11268.856392416666,0.0,0.0,0.0,30,126912,143,True
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,B0,32,9718.202660727744,11519.47544460148,-2.7239557871153286,-2.8226374528724603,-2.625274121358197,30,126912,143,True
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,B2,32,9757.758078893414,11557.47544460148,-3.146746834667925,-3.262562420160751,-3.0309312491750986,30,126912,143,True
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,B8,32,9876.445578893414,11671.47544460148,-4.415343284852597,-4.58331646168859,-4.247370108016603,30,126912,143,True
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,H2,32,9757.758078893414,11557.47544460148,-3.146746834667925,-3.262562420160751,-3.0309312491750986,30,126912,143,True
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,S8,32,8601.963517554315,10275.218268026005,-0.9837797252386513,-1.1252659553337188,-0.8422934951435839,30,240832,152,True
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,S,32,8519.61109602096,10234.266199932317,0.0,0.0,0.0,30,240832,152,True
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,B0,32,8730.511300450404,10551.904053390826,-2.5286832128049195,-3.6691329574271054,-1.3882334681827335,30,240832,152,True
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,B2,32,8772.573800450404,10591.904053390826,-3.0284055570035098,-4.1786590555743786,-1.8781520584326408,30,240832,152,True
