config,seeds,tasks,A_mean,A_p95,A2_mean,A2_p95,B_mean,B_p95,C_mean,C_p95,B_paired_reduction_pct,B_normal95_low,B_normal95_high,B_wins,B_losses,C_paired_reduction_pct,C_normal95_low,C_normal95_high,C_wins,C_losses
clusters_2_local,20,50,629.221921562873,689.6484712870607,629.221921562873,689.6484712870607,655.6929289540316,743.8528067605649,655.6929289540316,743.8528067605649,-4.175955963891035,-5.701366971536803,-2.6505449562452656,0,20,-4.175955963891035,-5.701366971536804,-2.650544956245265,0,20
equal_budget_clusters_2_central,20,50,629.7454950318594,689.6484712870607,629.7454950318594,689.6484712870607,657.088014147801,745.8528067605649,657.088014147801,745.8528067605649,-4.311956996515957,-5.820670771022469,-2.803243222009446,0,20,-4.311956996515955,-5.820670771022466,-2.8032432220094448,0,20
equal_budget_clusters_2_local,20,50,631.2199420205164,691.6484712870607,631.2199420205164,691.6484712870607,657.6876624483787,745.8528067605649,657.6876624483787,745.8528067605649,-4.161922030784465,-5.686112919565345,-2.6377311420035854,0,20,-4.161922030784465,-5.686112919565346,-2.637731142003585,0,20
clusters_4_central,20,98,830.812055675947,876.8461955900435,838.5178534725644,915.7168312519162,839.2631506085721,894.5918886124198,839.263150608572,894.5918886124197,-0.18899010587179182,-1.7237254250090142,1.3457452132654306,9,11,-0.18899010587178852,-1.7237254250090095,1.3457452132654326,9,11
clusters_4_local,20,98,829.7418152013881,876.8461955900435,836.1569640585265,913.7168312519162,835.1466174418385,888.5918886124198,835.1466174418385,888.5918886124197,0.02832202925092533,-1.4228432934737816,1.4794873519756324,9,11,0.028322029250928013,-1.4228432934737785,1.4794873519756346,9,11
equal_budget_clusters_4_central,20,98,829.7418152013881,876.8461955900435,836.8696845733018,913.7168312519162,836.0377667501851,890.5918886124198,836.0377667501851,890.5918886124197,0.0023923138132735887,-1.5061752457467081,1.5109598733732552,9,11,0.0023923138132775357,-1.5061752457467035,1.5109598733732585,9,11
equal_budget_clusters_4_local,20,98,831.7398356590315,877.8461955900435,839.0970745437866,914.7168312519162,837.2214500277581,890.5918886124198,837.221450027758,890.5918886124197,0.13161478078936723,-1.3349184478740506,1.5981480094527851,9,11,0.1316147807893699,-1.3349184478740486,1.5981480094527885,9,11
chips_2_memory,20,50,624.523487369651,645.8374248629802,624.523487369651,645.8374248629802,651.9509571818875,696.5798582144837,651.9509571818875,696.5798582144837,-4.417926850215121,-6.021531426666916,-2.8143222737633256,1,19,-4.417926850215121,-6.021531426666916,-2.8143222737633256,1,19
chips_2_communication,20,50,618.0174802497609,662.2729485460812,618.0174802497609,662.2729485460812,664.5897101849396,712.2729485460812,664.5897101849396,712.2729485460812,-7.529563453536539,-7.84054184757984,-7.218585059493239,0,20,-7.5295634535365386,-7.84054184757984,-7.218585059493237,0,20
chips_2_memory_communication,20,50,629.221921562873,689.6484712870607,629.221921562873,689.6484712870607,655.6929289540316,743.8528067605649,655.6929289540316,743.8528067605649,-4.175955963891035,-5.701366971536803,-2.6505449562452656,0,20,-4.175955963891035,-5.701366971536804,-2.650544956245265,0,20
