config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high
flux2_klein4b_double_scaled__two_core__calendar,main,flux2_klein4b_double_scaled,two_core,calendar,B_order0,32,18524.567228284635,18609.85656899546,0.0,0.0,0.0
flux2_klein4b_double_scaled__two_core__calendar,main,flux2_klein4b_double_scaled,two_core,calendar,B_order2,32,18565.32196026687,18640.0878763784,-0.22019759687016263,-0.27070397802393165,-0.16969121571639362
flux2_klein4b_double_scaled__two_core__combined,main,flux2_klein4b_double_scaled,two_core,combined,B_order0,32,19022.792619875156,21725.405155820794,0.0,0.0,0.0
flux2_klein4b_double_scaled__two_core__combined,main,flux2_klein4b_double_scaled,two_core,combined,B_order2,32,19073.29549963141,21741.897638107694,-0.2640485518766574,-0.34964017769874184,-0.17845692605457292
flux2_klein4b_double_scaled__dma16__service,hardware_sensitivity,flux2_klein4b_double_scaled,dma16,service,B_order0,32,23749.406883231342,28056.946241391834,-4.278970330619781,-5.909793785966865,-2.648146875272696
flux2_klein4b_double_scaled__dma16__service,hardware_sensitivity,flux2_klein4b_double_scaled,dma16,service,B_order2,32,23797.716613280434,28110.946241391834,-4.494052620268053,-6.13656253893922,-2.8515427015968857
flux2_klein4b_double_scaled__dma64__service,hardware_sensitivity,flux2_klein4b_double_scaled,dma64,service,B_order0,32,9566.722757265114,10261.265302174479,0.6864340039886325,0.2836677518101419,1.089200256167123
flux2_klein4b_double_scaled__dma64__service,hardware_sensitivity,flux2_klein4b_double_scaled,dma64,service,B_order2,32,9620.531162687603,10317.265302174479,0.12665110253173814,-0.2751771979510733,0.5284794030145495
flux2_klein4b_double_scaled__sram_one_port__service,hardware_sensitivity,flux2_klein4b_double_scaled,sram_one_port,service,B_order0,32,22117.12237024885,23945.231723395806,0.0,0.0,0.0
flux2_klein4b_double_scaled__sram_one_port__service,hardware_sensitivity,flux2_klein4b_double_scaled,sram_one_port,service,B_order2,32,22219.12237024885,24047.231723395806,-0.46245506861140157,-0.47109119563811225,-0.4538189415846909
flux2_klein4b_double_scaled__one_operand_slot__service,hardware_sensitivity,flux2_klein4b_double_scaled,one_operand_slot,service,B_order0,32,15150.927739743302,17013.6769001171,-3.3766351955559886,-3.611172153281853,-3.1420982378301243
flux2_klein4b_double_scaled__one_operand_slot__service,hardware_sensitivity,flux2_klein4b_double_scaled,one_operand_slot,service,B_order2,32,15214.894867505698,17075.6769001171,-3.8156538942472435,-4.054547218581409,-3.576760569913078
flux2_klein4b_double_scaled__four_operand_slots__service,hardware_sensitivity,flux2_klein4b_double_scaled,four_operand_slots,service,B_order0,32,13964.95988286301,15817.97976425787,-3.6780997132288853,-4.9827547075648075,-2.373444718892963
flux2_klein4b_double_scaled__four_operand_slots__service,hardware_sensitivity,flux2_klein4b_double_scaled,four_operand_slots,service,B_order2,32,14015.721655710053,15867.97976425787,-4.056859647139258,-5.365896326829936,-2.74782296744858
flux2_klein4b_double_scaled__sram2MiB__service,hardware_sensitivity,flux2_klein4b_double_scaled,sram2MiB,service,B_order0,32,13422.340690934532,14767.013251445836,-0.05303209912697548,-0.16494698069763547,0.05888278244368452
flux2_klein4b_double_scaled__sram2MiB__service,hardware_sensitivity,flux2_klein4b_double_scaled,sram2MiB,service,B_order2,32,13469.191947145124,14807.013251445836,-0.4059267941176954,-0.5264180974926885,-0.2854354907427022
